,Rank,Prev_rank,Rider_name,Team_name,Points,Time,Year,Weight(kg),Height(m),Age,UAE-Team Emirates,Team Jumbo-Visma,INEOS Grenadiers,AG2R Citroën Team,BORA - hansgrohe,Movistar Team,Astana - Premier Tech,"Cofidis, Solutions Crédits",Bahrain - Victorious,EF Education - Nippo,Groupama - FDJ,Deceuninck - Quick Step,Team BikeExchange,Intermarché - Wanty - Gobert Matériaux,Trek - Segafredo,Team Qhubeka NextHash,B&B Hotels p/b KTM,Team Arkéa Samsic,Alpecin-Fenix,Israel Start-Up Nation,Team DSM,Team TotalEnergies,Lotto Soudal
74,24,25,VALVERDE Alejandro,Movistar Team,80.0,1:07:501:07:50,2021,61.0,1.77,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,12,12,VALVERDE Alejandro,Movistar Team,180.0,17:4117:41,2020,61.0,1.77,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,9,9,VALVERDE Alejandro,Movistar Team,210.0,6:126:12,2019,61.0,1.77,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,14,14,VALVERDE Alejandro,Movistar Team,160.0,27:2627:26,2018,61.0,1.77,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6,6,VALVERDE Alejandro,Movistar Team,260.0,6:166:16,2016,61.0,1.77,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3,3,VALVERDE Alejandro,Movistar Team,340.0,5:255:25,2015,61.0,1.77,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,4,VALVERDE Alejandro,Movistar Team,300.0,9:409:40,2014,61.0,1.77,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,8,8,VALVERDE Alejandro,Movistar Team,220.0,15:2615:26,2013,61.0,1.77,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,20,20,VALVERDE Alejandro,Movistar Team,100.0,42:2642:26,2012,61.0,1.77,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,25,23,HIGUITA Sergio,EF Education - Nippo,75.0,1:09:161:09:16,2021,57.0,1.66,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,26,26,IZAGIRRE Ion,Astana - Premier Tech,70.0,1:23:391:23:39,2021,60.0,1.73,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,22,22,IZAGIRRE Ion,Bahrain Merida Pro Cycling Team,90.0,46:3646:36,2018,60.0,1.73,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,47,47,IZAGIRRE Ion,Movistar Team,25.0,2:09:492:09:49,2016,60.0,1.73,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
