Rank,Prev_rank,Rider_name,Team_name,UCI_points,Points,Time,Year
77,77,KIRYIENKA Vasil,Movistar Team,,25,2:22:022:22:02,2012
78,78,KASHECHKIN Andrey,Astana Pro Team,,25,2:23:092:23:09,2012
79,80,GERRANS Simon,Orica GreenEDGE,,25,2:24:352:24:35,2012
80,79,MARZANO Marco,Lampre - ISD,,25,2:24:462:24:46,2012
81,81,HANSEN Adam,Lotto Belisol Team,,25,2:25:292:25:29,2012
82,83,KNEES Christian,Sky Procycling,,25,2:26:432:26:43,2012
83,82,KERN Christophe,Team Europcar,,25,2:29:012:29:01,2012
84,84,ARASHIRO Yukiya,Team Europcar,,25,2:29:132:29:13,2012
85,85,LADAGNOUS Matthieu,FDJ - BigMat,,25,2:33:142:33:14,2012
86,86,HONDO Danilo,Lampre - ISD,,25,2:37:552:37:55,2012
87,87,PÉREZ Rubén,Euskaltel - Euskadi,,25,2:37:562:37:56,2012
88,90,VELITS Martin,Omega Pharma - Quick-Step,,25,2:40:472:40:47,2012
89,89,KADRI Blel,AG2R La Mondiale,,25,2:41:142:41:14,2012
90,91,ZINGLE Romain,"Cofidis, le Crédit en Ligne",,25,2:41:442:41:44,2012
91,88,FEILLU Brice,Saur - Sojasun,,25,2:41:502:41:50,2012
92,93,SIMON Julien,Saur - Sojasun,,25,2:46:042:46:04,2012
93,92,MØRKØV Michael,Team Saxo Bank - Tinkoff Bank,,25,2:46:142:46:14,2012
94,95,VICHOT Arthur,FDJ - BigMat,,25,2:46:512:46:51,2012
95,94,CUMMINGS Steve,BMC Racing Team,,25,2:47:032:47:03,2012
96,96,BAK Lars Ytting,Lotto Belisol Team,,25,2:48:052:48:05,2012
97,97,O'GRADY Stuart,Orica GreenEDGE,,25,2:50:312:50:31,2012
 98 ,98,KOREN Kristijan,Liquigas - Cannondale,,25,2:51:342:51:34,2012
99,99,SØRENSEN Nicki,Team Saxo Bank - Tinkoff Bank,,25,2:53:112:53:11,2012
100,100,ZABRISKIE David,Garmin Sharp,,25,2:53:262:53:26,2012
101,102,PLAZA Rubén,Movistar Team,,25,2:53:352:53:35,2012
102,101,DE GREEF Francis,Lotto Belisol Team,,25,2:53:522:53:52,2012
103,103,DE KORT Koen,Argos - Shimano,,25,2:54:132:54:13,2012
104,106,ROELANDTS Jürgen,Lotto Belisol Team,,25,2:55:042:55:04,2012
105,105,OSS Daniel,Liquigas - Cannondale,,25,2:55:242:55:24,2012
106,104,MILLAR David,Garmin Sharp,,25,",,2:55:24",2012
107,107,DUMOULIN Samuel,"Cofidis, le Crédit en Ligne",,25,2:56:022:56:02,2012
108,109,PAOLINI Luca,Team Katusha ,,25,2:56:212:56:21,2012
109,108,QUINZIATO Manuel,BMC Racing Team,,25,2:56:272:56:27,2012
110,110,ALBASINI Michael,Orica GreenEDGE,,25,2:57:202:57:20,2012
111,111,IMPEY Daryl,Orica GreenEDGE,,25,2:57:292:57:29,2012
112,113,PINEAU Jérôme,Omega Pharma - Quick-Step,,25,2:57:582:57:58,2012
113,112,SPRICK Matthieu,Argos - Shimano,,25,2:58:152:58:15,2012
114,114,CANUTI Federico,Liquigas - Cannondale,,25,2:58:412:58:41,2012
115,115,BOECKMANS Kris,Vacansoleil - DCM,,25,3:02:573:02:57,2012
116,116,IGLINSKIY Maxim,Astana Pro Team,,25,3:03:383:03:38,2012
117,117,COOKE Baden,Orica GreenEDGE,,25,3:04:303:04:30,2012
118,118,VANOTTI Alessandro,Liquigas - Cannondale,,25,3:04:393:04:39,2012
119,119,HORRACH Joan Sebastian,Team Katusha ,,25,3:06:273:06:27,2012
120,120,GOSS Matthew,Orica GreenEDGE,,25,3:06:553:06:55,2012
121,121,NUYENS Nick,Team Saxo Bank - Tinkoff Bank,,25,3:08:293:08:29,2012
122,122,HINAULT Sébastien,AG2R La Mondiale,,25,3:08:573:08:57,2012
123,123,GREIPEL André,Lotto Belisol Team,,25,3:09:023:09:02,2012
124,125,HENDERSON Gregory,Lotto Belisol Team,,25,3:13:063:13:06,2012
125,124,GRABSCH Bert,Omega Pharma - Quick-Step,,25,",,3:13:06",2012
126,126,ROUX Anthony,FDJ - BigMat,,25,3:16:383:16:38,2012
127,129,LUND Anders,Team Saxo Bank - Tinkoff Bank,,25,3:17:073:17:07,2012
128,127,EDET Nicolas,"Cofidis, le Crédit en Ligne",,25,3:17:163:17:16,2012
 129 ,130,BOŽIČ Borut,Astana Pro Team,,25,3:17:443:17:44,2012
130,131,MATÉ Luis Ángel,"Cofidis, le Crédit en Ligne",,25,3:18:113:18:11,2012
131,128,MARINO Jean-Marc,Saur - Sojasun,,25,3:18:203:18:20,2012
132,132,SIEBERG Marcel,Lotto Belisol Team,,25,3:19:363:19:36,2012
133,133,PINEAU Cédric,FDJ - BigMat,,25,3:20:243:20:24,2012
134,134,URTASUN Pablo,Euskaltel - Euskadi,,25,3:21:343:21:34,2012
135,135,CURVERS Roy,Argos - Shimano,,25,3:23:443:23:44,2012
136,136,LEMOINE Cyril,Saur - Sojasun,,25,3:23:553:23:55,2012
137,137,CANTWELL Jonathan,Team Saxo Bank - Tinkoff Bank,,25,3:25:083:25:08,2012
138,138,HUGUET Yann,Argos - Shimano,,25,3:26:433:26:43,2012
139,139,GÈNE Yohann,Team Europcar,,25,3:26:583:26:58,2012
140,141,HAEDO Juan José,Team Saxo Bank - Tinkoff Bank,,25,3:27:283:27:28,2012
141,140,GRETSCH Patrick,Argos - Shimano,,25,3:27:493:27:49,2012
142,143,CAVENDISH Mark,Sky Procycling,,25,3:28:363:28:36,2012
143,142,KROON Karsten,Team Saxo Bank - Tinkoff Bank,,25,3:28:563:28:56,2012
144,144,TANKINK Bram,Rabobank Cycling Team,,25,3:31:243:31:24,2012
145,146,KUSCHYNSKI Aleksandr,Team Katusha ,,25,3:38:243:38:24,2012
146,145,EISEL Bernhard,Sky Procycling,,25,3:38:483:38:48,2012
147,147,VANSUMMEREN Johan,Garmin Sharp,,25,3:40:013:40:01,2012
148,148,TIMMER Albert,Argos - Shimano,,25,3:40:373:40:37,2012
149,149,FOUCHARD Julien,"Cofidis, le Crédit en Ligne",,25,3:42:313:42:31,2012
150,150,LANGEVELD Sebastian,Orica GreenEDGE,,25,3:50:123:50:12,2012
151,151,FARRAR Tyler,Garmin Sharp,,25,3:54:453:54:45,2012
152,152,GHYSELINCK Jan,"Cofidis, le Crédit en Ligne",,25,3:57:043:57:04,2012
153,153,ENGOULVENT Jimmy,Saur - Sojasun,,25,3:57:363:57:36,2012
1,1,EVANS Cadel,BMC Racing Team,,500,86:12:22,2011
2,2,SCHLECK Andy,Leopard Trek,,380,1:341:34,2011
3,3,SCHLECK Fränk,Leopard Trek,,340,2:302:30,2011
4,4,VOECKLER Thomas,Team Europcar,,300,3:203:20,2011
 5 ,5,CONTADOR Alberto,Saxo Bank - Sungard,,,3:573:57,2011
5,6,SÁNCHEZ Samuel,Euskaltel - Euskadi,,280,4:554:55,2011
6,7,CUNEGO Damiano,Lampre - ISD,,260,6:056:05,2011
7,8,BASSO Ivan,Liquigas - Cannondale,,240,7:237:23,2011
8,9,DANIELSON Tom,Team Garmin - Cervélo,,220,8:158:15,2011
9,10,PERAUD Jean-Christophe,AG2R La Mondiale,,210,10:1110:11,2011
10,11,ROLLAND Pierre,Team Europcar,,200,10:4310:43,2011
11,12,TAARAMÄE Rein,"Cofidis, le Crédit en Ligne",,190,11:2911:29,2011
12,13,DE WEERT Kevin,Quickstep Cycling Team,,180,16:2916:29,2011
13,14,COPPEL Jérôme,Saur - Sojasun,,170,18:3618:36,2011
14,15,JEANNESSON Arnold,FDJ,,160,21:2021:20,2011
15,16,ZUBELDIA Haimar,RadioShack,,150,26:2326:23,2011
16,17,VANDE VELDE Christian,Team Garmin - Cervélo,,140,27:1227:12,2011
17,18,HESJEDAL Ryder,Team Garmin - Cervélo,,130,27:1427:14,2011
18,19,VELITS Peter,HTC - High Road,,120,28:5428:54,2011
19,20,VANENDERT Jelle,Omega Pharma-Lotto ,,110,32:4132:41,2011
20,21,RUIJGH Rob,Vacansoleil - DCM,,100,33:0433:04,2011
22,22,DUPONT Hubert,AG2R La Mondiale,,90,36:5436:54,2011
23,23,GUSEV Vladimir,Team Katusha ,,85,42:2642:26,2011
24,24,URÁN Rigoberto,Sky Procycling,,80,42:4842:48,2011
25,25,VERDUGO Gorka,Euskaltel - Euskadi,,75,43:0643:06,2011
26,26,ROCHE Nicolas,AG2R La Mondiale,,70,46:2346:23,2011
27,27,CASAR Sandy,FDJ,,65,50:2850:28,2011
28,28,KARPETS Vladimir,Team Katusha ,,60,52:2552:25,2011
29,29,MONFORT Maxime,Leopard Trek,,55,53:1653:16,2011
30,30,TROFIMOV Yuri,Team Katusha ,,50,56:4656:46,2011
31,31,THOMAS Geraint,Sky Procycling,,45,1:00:481:00:48,2011
32,32,LEIPHEIMER Levi,RadioShack,,40,1:03:581:03:58,2011
33,33,GESINK Robert,Rabobank Cycling Team,,35,1:05:091:05:09,2011
34,34,MARTÍNEZ Egoi,Euskaltel - Euskadi,,30,1:08:281:08:28,2011
 35 ,35,BARREDO Carlos,Rabobank Cycling Team,,,1:12:581:12:58,2011
36,36,ARROYO David,Movistar Team,,25,1:14:401:14:40,2011
37,37,SØRENSEN Chris Anker,Saxo Bank - Sungard,,25,1:14:421:14:42,2011
38,38,GILBERT Philippe,Omega Pharma-Lotto ,,25,1:14:511:14:51,2011
39,39,DI GRÉGORIO Rémy,Pro Team Astana,,25,1:22:041:22:04,2011
40,40,EL FARES Julien,"Cofidis, le Crédit en Ligne",,25,1:24:211:24:21,2011
41,41,MONCOUTIÉ David,"Cofidis, le Crédit en Ligne",,25,1:25:251:25:25,2011
42,42,SZMYD Sylwester,Liquigas - Cannondale,,25,1:25:371:25:37,2011
43,43,GAUTIER Cyril,Team Europcar,,25,1:27:431:27:43,2011
44,44,MARTIN Tony,HTC - High Road,,25,1:30:561:30:56,2011
45,45,ZEITS Andrey,Pro Team Astana,,25,1:31:481:31:48,2011
46,46,DEVENYNS Dries,Quickstep Cycling Team,,25,1:34:061:34:06,2011
47,47,TALABARDON Yannick,Saur - Sojasun,,25,1:34:511:34:51,2011
48,48,ZANDIO Xabier,Sky Procycling,,25,1:35:181:35:18,2011
49,49,MORABITO Steve,BMC Racing Team,,25,1:37:571:37:57,2011
50,50,FUGLSANG Jakob,Leopard Trek,,25,1:39:581:39:58,2011
51,51,RIBLON Christophe,AG2R La Mondiale,,25,1:43:471:43:47,2011
52,52,CHARTEAU Anthony,Team Europcar,,25,1:43:491:43:49,2011
53,53,BOASSON HAGEN Edvald,Sky Procycling,,25,1:44:391:44:39,2011
54,54,PINEAU Jérôme,Quickstep Cycling Team,,25,1:44:411:44:41,2011
55,55,BOUET Maxime,AG2R La Mondiale,,25,1:44:451:44:45,2011
56,56,HINCAPIE George,BMC Racing Team,,25,1:45:161:45:16,2011
57,57,SÁNCHEZ Luis León,Rabobank Cycling Team,,25,1:46:091:46:09,2011
58,58,TEN DAM Laurens,Rabobank Cycling Team,,25,1:47:021:47:02,2011
59,59,LOOSLI David,Lampre - ISD,,25,1:51:081:51:08,2011
60,60,GERDEMANN Linus,Leopard Trek,,25,1:51:191:51:19,2011
61,61,CHAVANEL Sylvain,Quickstep Cycling Team,,25,1:52:211:52:21,2011
62,62,NAVARRO Daniel,Saxo Bank - Sungard,,25,1:53:221:53:22,2011
63,63,DE GENDT Thomas,Vacansoleil - DCM,,25,1:54:111:54:11,2011
64,64,KNEES Christian,Sky Procycling,,25,1:56:121:56:12,2011
65,65,MOINARD Amaël,BMC Racing Team,,25,1:58:431:58:43,2011
66,66,IZAGIRRE Gorka,Euskaltel - Euskadi,,25,1:59:471:59:47,2011
67,67,VOIGT Jens,Leopard Trek,,25,1:59:561:59:56,2011
68,68,HUSHOVD Thor,Team Garmin - Cervélo,,25,2:03:152:03:15,2011
69,69,PATERSKI Maciej,Liquigas - Cannondale,,25,2:03:562:03:56,2011
70,70,MOLLEMA Bauke,Rabobank Cycling Team,,25,2:06:352:06:35,2011
71,71,NIERMANN Grischa,Rabobank Cycling Team,,25,2:07:262:07:26,2011
72,72,PORTE Richie,Saxo Bank - Sungard,,25,2:09:242:09:24,2011
73,73,SILIN Egor,Team Katusha ,,25,2:10:052:10:05,2011
74,74,HOOGERLAND Johnny,Vacansoleil - DCM,,25,2:11:512:11:51,2011
75,75,PÉREZ Rubén,Euskaltel - Euskadi,,25,2:12:282:12:28,2011
76,76,MILLAR David,Team Garmin - Cervélo,,25,2:14:562:14:56,2011
77,77,MEERSMAN Gianni,FDJ,,25,2:17:272:17:27,2011
78,78,O'GRADY Stuart,Leopard Trek,,25,2:17:582:17:58,2011
79,79,GALLOPIN Tony,"Cofidis, le Crédit en Ligne",,25,2:18:192:18:19,2011
80,80,ROJAS José Joaquín,Movistar Team,,25,2:22:542:22:54,2011
81,81,PAULINHO Sérgio Miguel,RadioShack,,25,2:24:292:24:29,2011
82,82,VAN GARDEREN Tejay,HTC - High Road,,25,2:25:492:25:49,2011
83,83,SANTAROMITA Ivan,BMC Racing Team,,25,2:27:122:27:12,2011
84,84,IRIZAR Markel,RadioShack,,25,2:27:132:27:13,2011
85,85,ROELANDTS Jürgen,Omega Pharma-Lotto ,,25,2:27:282:27:28,2011
86,86,ROY Jérémy,FDJ,,25,2:28:272:28:27,2011
 87 ,87,KOREN Kristijan,Liquigas - Cannondale,,,2:29:242:29:24,2011
88,88,ERVITI Imanol,Movistar Team,,25,2:29:472:29:47,2011
89,89,MARCATO Marco,Vacansoleil - DCM,,25,2:30:092:30:09,2011
90,90,COSTA Rui,Movistar Team,,25,2:31:342:31:34,2011
91,91,MALORI Adriano,Lampre - ISD,,25,2:31:472:31:47,2011
92,92,HERNÁNDEZ BLÁZQUEZ Jesús,Saxo Bank - Sungard,,25,2:32:002:32:00,2011
93,93,BONO Matteo,Lampre - ISD,,25,2:35:452:35:45,2011
94,94,PÉREZ Alan,Euskaltel - Euskadi,,25,2:36:142:36:14,2011
95,95,SØRENSEN Nicki,Saxo Bank - Sungard,,25,2:36:262:36:26,2011
96,96,GERRANS Simon,Sky Procycling,,25,2:37:252:37:25,2011
97,97,HIVERT Jonathan,Saur - Sojasun,,25,2:37:372:37:37,2011
98,98,FLECHA Juan Antonio,Sky Procycling,,25,2:41:042:41:04,2011
99,99,TJALLINGII Maarten,Rabobank Cycling Team,,25,2:41:412:41:41,2011
100,100,OSS Daniel,Liquigas - Cannondale,,25,2:47:072:47:07,2011
101,101,ROUX Anthony,FDJ,,25,2:47:492:47:49,2011
102,102,GUTIÉRREZ José Iván,Movistar Team,,25,2:49:232:49:23,2011
103,103,SCHÄR Michael,BMC Racing Team,,25,2:49:372:49:37,2011
104,104,VICHOT Arthur,FDJ,,25,2:49:492:49:49,2011
105,105,IGLINSKIY Maxim,Pro Team Astana,,25,2:53:502:53:50,2011
106,106,FOFONOV Dmitriy,Pro Team Astana,,25,2:53:592:53:59,2011
107,107,PETACCHI Alessandro,Lampre - ISD,,25,2:54:202:54:20,2011
108,108,POSTHUMA Joost,Leopard Trek,,25,2:55:252:55:25,2011
109,109,HONDO Danilo,Lampre - ISD,,25,",,2:55:25",2011
110,110,MINARD Sébastien,AG2R La Mondiale,,25,3:00:043:00:04,2011
111,111,HINAULT Sébastien,AG2R La Mondiale,,25,3:00:443:00:44,2011
112,112,KREUZIGER Roman,Pro Team Astana,,25,3:00:593:00:59,2011
113,113,LANG Sebastian,Omega Pharma-Lotto ,,25,3:01:513:01:51,2011
114,114,BOOKWALTER Brent,BMC Racing Team,,25,3:03:473:03:47,2011
115,115,QUINZIATO Manuel,BMC Racing Team,,25,3:04:473:04:47,2011
116,116,NOVAL Benjamín,Saxo Bank - Sungard,,25,3:06:293:06:29,2011
117,117,KADRI Blel,AG2R La Mondiale,,25,3:07:073:07:07,2011
118,118,VALENTIN Tristan,"Cofidis, le Crédit en Ligne",,25,3:07:103:07:10,2011
119,119,CANCELLARA Fabian,Leopard Trek,,25,3:07:313:07:31,2011
120,120,TURGOT Sébastien,Team Europcar,,25,3:08:343:08:34,2011
121,121,DUQUE Leonardo Fabio,"Cofidis, le Crédit en Ligne",,25,3:08:413:08:41,2011
122,122,MANGEL Laurent,Saur - Sojasun,,25,3:10:193:10:19,2011
123,123,TOSATTO Matteo,Saxo Bank - Sungard,,25,3:10:363:10:36,2011
124,124,JEANDESBOZ Fabrice,Saur - Sojasun,,25,3:11:473:11:47,2011
125,125,VANDBORG Brian Bach,Saxo Bank - Sungard,,25,3:13:433:13:43,2011
126,126,LONGO BORGHINI Paolo,Liquigas - Cannondale,,25,3:13:443:13:44,2011
127,127,BOLE Grega,Lampre - ISD,,25,3:14:153:14:15,2011
128,128,WESTRA Lieuwe,Vacansoleil - DCM,,25,",,3:14:15",2011
129,129,MURAVYEV Dmitriy,RadioShack,,25,3:14:293:14:29,2011
130,130,CAVENDISH Mark,HTC - High Road,,25,3:15:053:15:05,2011
131,131,BUFFAZ Mickaël,"Cofidis, le Crédit en Ligne",,25,3:15:123:15:12,2011
132,132,DELAGE Mickaël,FDJ,,25,3:15:393:15:39,2011
133,133,VANOTTI Alessandro,Liquigas - Cannondale,,25,3:16:003:16:00,2011
134,134,TERPSTRA Niki,Quickstep Cycling Team,,25,3:16:383:16:38,2011
135,135,DELAPLACE Anthony,Saur - Sojasun,,25,3:16:583:16:58,2011
136,136,BOŽIČ Borut,Vacansoleil - DCM,,25,3:17:113:17:11,2011
137,137,SWIFT Ben,Sky Procycling,,25,3:18:073:18:07,2011
138,138,GALLAND Jérémie,Saur - Sojasun,,25,3:19:463:19:46,2011
139,139,VENTOSO Francisco José,Movistar Team,,25,3:20:023:20:02,2011
140,140,VAITKUS Tomas,Pro Team Astana,,25,3:20:073:20:07,2011
141,141,SIEBERG Marcel,Omega Pharma-Lotto ,,25,3:21:393:21:39,2011
142,142,GOSS Matthew,HTC - High Road,,25,3:22:323:22:32,2011
143,143,BODNAR Maciej,Liquigas - Cannondale,,25,3:23:303:23:30,2011
144,144,GRIVKO Andrey,Pro Team Astana,,25,3:26:223:26:22,2011
145,145,DEAN Julian,Team Garmin - Cervélo,,25,3:28:003:28:00,2011
146,146,ENGELS Addy,Quickstep Cycling Team,,25,3:29:043:29:04,2011
147,147,IGNATIEV Mikhail,Team Katusha ,,25,3:29:073:29:07,2011
148,148,COYOT Arnaud,Saur - Sojasun,,25,3:29:203:29:20,2011
149,149,URTASUN Pablo,Euskaltel - Euskadi,,25,3:30:173:30:17,2011
150,150,CIOLEK Gerald,Quickstep Cycling Team,,25,3:30:223:30:22,2011
151,151,QUÉMÉNEUR Perrig,Team Europcar,,25,3:30:353:30:35,2011
152,152,ZINGLE Romain,"Cofidis, le Crédit en Ligne",,25,3:31:303:31:30,2011
153,153,KOSTYUK Denys,Lampre - ISD,,25,3:31:423:31:42,2011
154,154,BAK Lars Ytting,HTC - High Road,,25,3:33:253:33:25,2011
155,155,JÉRÔME Vincent,Team Europcar,,25,3:34:373:34:37,2011
156,156,GREIPEL André,Omega Pharma-Lotto ,,25,3:35:043:35:04,2011
157,157,NAVARDAUSKAS Ramūnas,Team Garmin - Cervélo,,25,3:36:533:36:53,2011
158,158,GÈNE Yohann,Team Europcar,,25,3:38:133:38:13,2011
159,159,FARRAR Tyler,Team Garmin - Cervélo,,25,3:38:323:38:32,2011
160,160,ENGOULVENT Jimmy,Saur - Sojasun,,25,3:38:343:38:34,2011
161,161,EISEL Bernhard,HTC - High Road,,25,3:39:563:39:56,2011
162,162,DUMOULIN Samuel,"Cofidis, le Crédit en Ligne",,25,3:43:173:43:17,2011
163,163,RENSHAW Mark,HTC - High Road,,25,3:44:003:44:00,2011
164,164,BURGHARDT Marcus,BMC Racing Team,,25,3:44:083:44:08,2011
165,165,PATE Danny,HTC - High Road,,25,3:45:263:45:26,2011
166,166,AMADOR Andrey,Movistar Team,,25,3:54:353:54:35,2011
167,167,SABATINI Fabio,Liquigas - Cannondale,,25,3:57:433:57:43,2011
