Name,URL,Weight(kg),Height(m),YOB
ZINGLE Romain,https://www.procyclingstats.com/rider/Romain-ZINGLE,67,1.75,1987
SØRENSEN Nicki,https://www.procyclingstats.com/rider/Nicki-SØRENSEN,71,1.82,1975
ZABRISKIE David,https://www.procyclingstats.com/rider/David-ZABRISKIE,67,1.83,1979
DE GREEF Francis,https://www.procyclingstats.com/rider/GREEF-DE,77,1.92,1985
SPRICK Matthieu,https://www.procyclingstats.com/rider/Matthieu-SPRICK,71,1.81,1981
CANUTI Federico,https://www.procyclingstats.com/rider/Federico-CANUTI,68,1.82,1985
BOECKMANS Kris,https://www.procyclingstats.com/rider/Kris-BOECKMANS,76,1.8,1987
COOKE Baden,https://www.procyclingstats.com/rider/Baden-COOKE,75,1.8,1978
HORRACH Joan Sebastian,https://www.procyclingstats.com/rider/Joan-HORRACH,70,1.79,1974
NUYENS Nick,https://www.procyclingstats.com/rider/Nick-NUYENS,68,1.77,1980
HINAULT Sébastien,https://www.procyclingstats.com/rider/Sébastien-HINAULT,63,1.75,1974
GRABSCH Bert,https://www.procyclingstats.com/rider/Bert-GRABSCH,78,1.79,1975
LUND Anders,https://www.procyclingstats.com/rider/Anders-LUND,65,1.67,1985
URTASUN Pablo,https://www.procyclingstats.com/rider/Pablo-URTASUN,69,1.76,1980
CANTWELL Jonathan,https://www.procyclingstats.com/rider/Jonathan-CANTWELL,69,1.74,1982
HUGUET Yann,https://www.procyclingstats.com/rider/Yann-HUGUET,66,1.77,1984
HAEDO Juan José,https://www.procyclingstats.com/rider/Juan-HAEDO,73,1.8,1981
GRETSCH Patrick,https://www.procyclingstats.com/rider/Patrick-GRETSCH,69,1.87,1987
KROON Karsten,https://www.procyclingstats.com/rider/Karsten-KROON,67,1.8,1976
FOUCHARD Julien,https://www.procyclingstats.com/rider/Julien-FOUCHARD,74,1.87,1986
GHYSELINCK Jan,https://www.procyclingstats.com/rider/Jan-GHYSELINCK,74,1.83,1988
ENGOULVENT Jimmy,https://www.procyclingstats.com/rider/Jimmy-ENGOULVENT,82,1.87,1979
RUIJGH Rob,https://www.procyclingstats.com/rider/Rob-RUIJGH,64,1.72,1986
GUSEV Vladimir,https://www.procyclingstats.com/rider/Vladimir-GUSEV,67,1.76,1982
VERDUGO Gorka,https://www.procyclingstats.com/rider/Gorka-VERDUGO,71,1.81,1978
BARREDO Carlos,https://www.procyclingstats.com/rider/Carlos-BARREDO,61,1.77,1981
ARROYO David,https://www.procyclingstats.com/rider/David-ARROYO,63,1.74,1980
DI GRÉGORIO Rémy,https://www.procyclingstats.com/rider/GRÉGORIO-DI,67,1.8,1985
MONCOUTIÉ David,https://www.procyclingstats.com/rider/David-MONCOUTIÉ,69,1.8,1975
TALABARDON Yannick,https://www.procyclingstats.com/rider/Yannick-TALABARDON,67,1.9,1981
ZANDIO Xabier,https://www.procyclingstats.com/rider/Xabier-ZANDIO,73,1.84,1977
CHARTEAU Anthony,https://www.procyclingstats.com/rider/Anthony-CHARTEAU,67,1.75,1979
LOOSLI David,https://www.procyclingstats.com/rider/David-LOOSLI,71,1.82,1980
GERDEMANN Linus,https://www.procyclingstats.com/rider/Linus-GERDEMANN,71,1.83,1982
HUSHOVD Thor,https://www.procyclingstats.com/rider/Thor-HUSHOVD,83,1.83,1978
PATERSKI Maciej,https://www.procyclingstats.com/rider/Maciej-PATERSKI,73,1.86,1986
NIERMANN Grischa,https://www.procyclingstats.com/rider/Grischa-NIERMANN,64,1.78,1975
SILIN Egor,https://www.procyclingstats.com/rider/Egor-SILIN,61,1.77,1988
MEERSMAN Gianni,https://www.procyclingstats.com/rider/Gianni-MEERSMAN,63,1.77,1985
SANTAROMITA Ivan,https://www.procyclingstats.com/rider/Ivan-SANTAROMITA,58,1.76,1984
PÉREZ Alan,https://www.procyclingstats.com/rider/alan-lezaun-perez,66,1.75,1982
TJALLINGII Maarten,https://www.procyclingstats.com/rider/Maarten-TJALLINGII,81,1.88,1977
GUTIÉRREZ José Iván,https://www.procyclingstats.com/rider/ivan-gutierrez,71,1.81,1978
POSTHUMA Joost,https://www.procyclingstats.com/rider/Joost-POSTHUMA,76,1.89,1981
LANG Sebastian,https://www.procyclingstats.com/rider/Sebastian-LANG,77,1.87,1979
NOVAL Benjamín,https://www.procyclingstats.com/rider/benjamin-gonzalez-noval,71,1.78,1979
VALENTIN Tristan,https://www.procyclingstats.com/rider/Tristan-VALENTIN,69,1.81,1982
CANCELLARA Fabian,https://www.procyclingstats.com/rider/Fabian-CANCELLARA,80,1.86,1981
TURGOT Sébastien,https://www.procyclingstats.com/rider/sebastien-turgot,73,1.79,1984
DUQUE Leonardo Fabio,https://www.procyclingstats.com/rider/Leonardo-DUQUE,59,1.7,1980
MANGEL Laurent,https://www.procyclingstats.com/rider/Laurent-MANGEL,83,1.95,1981
LONGO BORGHINI Paolo,https://www.procyclingstats.com/rider/paolo-longo-borghini,76,1.87,1980
BUFFAZ Mickaël,https://www.procyclingstats.com/rider/mickael-buffaz,64,1.75,1979
GALLAND Jérémie,https://www.procyclingstats.com/rider/jeremie-galland,62,1.74,1983
VENTOSO Francisco José,https://www.procyclingstats.com/rider/fran-ventoso,75,1.8,1982
VAITKUS Tomas,https://www.procyclingstats.com/rider/Tomas-VAITKUS,75,1.85,1982
DEAN Julian,https://www.procyclingstats.com/rider/Julian-DEAN,72,1.78,1975
ENGELS Addy,https://www.procyclingstats.com/rider/Addy-ENGELS,64,1.81,1977
IGNATIEV Mikhail,https://www.procyclingstats.com/rider/Mikhail-IGNATIEV,67,1.76,1985
COYOT Arnaud,https://www.procyclingstats.com/rider/Arnaud-COYOT,76,1.95,1980
CIOLEK Gerald,https://www.procyclingstats.com/rider/Gerald-CIOLEK,75,1.79,1986
KOSTYUK Denys,https://www.procyclingstats.com/rider/Denys-KOSTYUK,66,1.76,1982
JÉRÔME Vincent,https://www.procyclingstats.com/rider/vincent-jerome,65,1.74,1984
