Name,URL,Weight(kg),Height(m),YOB
CATALDO Dario,https://www.procyclingstats.com/rider/Dario-CATALDO,64,1.75,1985
BAUER Jack,https://www.procyclingstats.com/rider/Jack-BAUER,74,1.91,1985
SAGAN Peter,https://www.procyclingstats.com/rider/Peter-SAGAN,78,1.84,1990
NEILANDS Krists,https://www.procyclingstats.com/rider/Krists-NEILANDS,69,1.89,1994
SIVAKOV Pavel,https://www.procyclingstats.com/rider/Pavel-SIVAKOV,72,1.88,1997
KEUKELEIRE Jens,https://www.procyclingstats.com/rider/Jens-KEUKELEIRE,69,1.85,1988
VAN GARDEREN Tejay,https://www.procyclingstats.com/rider/GARDEREN-VAN,72,1.86,1988
LADAGNOUS Matthieu,https://www.procyclingstats.com/rider/Matthieu-LADAGNOUS,73,1.81,1984
QUINTANA Dayer,https://www.procyclingstats.com/rider/Dayer-QUINTANA,58,1.67,1992
IMPEY Daryl,https://www.procyclingstats.com/rider/Daryl-IMPEY,70,1.81,1984
VAN ASBROECK Tom,https://www.procyclingstats.com/rider/ASBROECK-VAN,72,1.82,1990
DE MARCHI Alessandro,https://www.procyclingstats.com/rider/MARCHI-DE,65,1.81,1986
BOASSON HAGEN Edvald,https://www.procyclingstats.com/rider/HAGEN-BOASSON,75,1.85,1987
LEDANOIS Kévin,https://www.procyclingstats.com/rider/Kévin-LEDANOIS,67,1.81,1993
VENTURINI Clément,https://www.procyclingstats.com/rider/Clément-VENTURINI,60,1.65,1993
KREUZIGER Roman,https://www.procyclingstats.com/rider/Roman-KREUZIGER,65,1.83,1986
MARCATO Marco,https://www.procyclingstats.com/rider/Marco-MARCATO,67,1.74,1984
CONSONNI Simone,https://www.procyclingstats.com/rider/Simone-CONSONNI,60,1.65,1994
CAVAGNA Rémi,https://www.procyclingstats.com/rider/Rémi-CAVAGNA,78,1.86,1995
HOFSTETTER Hugo,https://www.procyclingstats.com/rider/Hugo-HOFSTETTER,65,1.7,1994
GRELLIER Fabien,https://www.procyclingstats.com/rider/Fabien-GRELLIER,65,1.75,1994
MARTIN Tony,https://www.procyclingstats.com/rider/Tony-MARTIN,75,1.85,1985
GIBBONS Ryan,https://www.procyclingstats.com/rider/Ryan-GIBBONS,70,1.81,1994
COQUARD Bryan,https://www.procyclingstats.com/rider/Bryan-COQUARD,59,1.71,1992
SOUPE Geoffrey,https://www.procyclingstats.com/rider/Geoffrey-SOUPE,70,1.77,1988
KOCH Jonas,https://www.procyclingstats.com/rider/Jonas-KOCH,75,1.87,1993
ARNDT Nikias,https://www.procyclingstats.com/rider/Nikias-ARNDT,77.5,1.88,1991
JANSEN Amund Grøndahl,https://www.procyclingstats.com/rider/Amund-JANSEN,83,1.87,1994
ROWE Luke,https://www.procyclingstats.com/rider/Luke-ROWE,72,1.85,1990
BURGAUDEAU Mathieu,https://www.procyclingstats.com/rider/Mathieu-BURGAUDEAU,61,1.68,1998
KRISTOFF Alexander,https://www.procyclingstats.com/rider/Alexander-KRISTOFF,78,1.81,1987
RUSSO Clément,https://www.procyclingstats.com/rider/Clément-RUSSO,73,1.86,1995
VIVIANI Elia,https://www.procyclingstats.com/rider/Elia-VIVIANI,67,1.78,1989
REZA Kévin,https://www.procyclingstats.com/rider/Kévin-REZA,71,1.86,1988
BENNETT Sam,https://www.procyclingstats.com/rider/Sam-BENNETT,73,1.78,1990
NIV Guy,https://www.procyclingstats.com/rider/Guy-NIV,58,1.68,1994
BONIFAZIO Niccolò,https://www.procyclingstats.com/rider/Niccolò-BONIFAZIO,72,1.76,1993
DE BUYST Jasper,https://www.procyclingstats.com/rider/BUYST-DE,71,1.78,1993
EWAN Caleb,https://www.procyclingstats.com/rider/Caleb-EWAN,69,1.67,1994
FRISON Frederik,https://www.procyclingstats.com/rider/Frederik-FRISON,84,1.94,1992
KLUGE Roger,https://www.procyclingstats.com/rider/Roger-KLUGE,83,1.92,1986
BERNAL Egan,https://www.procyclingstats.com/rider/Egan-BERNAL,60,1.75,1997
KRUIJSWIJK Steven,https://www.procyclingstats.com/rider/Steven-KRUIJSWIJK,63,1.78,1987
ARU Fabio,https://www.procyclingstats.com/rider/Fabio-ARU,63,1.83,1990
BARDET Romain,https://www.procyclingstats.com/rider/Romain-BARDET,65,1.84,1990
DE PLUS Laurens,https://www.procyclingstats.com/rider/PLUS-DE,67,1.89,1995
MÜHLBERGER Gregor,https://www.procyclingstats.com/rider/Gregor-MÜHLBERGER,64,1.8,1994
KANGERT Tanel,https://www.procyclingstats.com/rider/Tanel-KANGERT,65,1.78,1987
CICCONE Giulio,https://www.procyclingstats.com/rider/Giulio-CICCONE,58,1.76,1994
WOODS Michael,https://www.procyclingstats.com/rider/Michael-WOODS,64,1.75,1986
HAIG Jack,https://www.procyclingstats.com/rider/Jack-HAIG,67,1.9,1993
NIBALI Vincenzo,https://www.procyclingstats.com/rider/Vincenzo-NIBALI,65,1.81,1984
FRANK Mathias,https://www.procyclingstats.com/rider/Mathias-FRANK,64,1.76,1986
YATES Simon,https://www.procyclingstats.com/rider/Simon-YATES,58,1.72,1992
ZAKARIN Ilnur,https://www.procyclingstats.com/rider/Ilnur-ZAKARIN,67,1.87,1989
GALLOPIN Tony,https://www.procyclingstats.com/rider/Tony-GALLOPIN,69,1.8,1988
KING Ben,https://www.procyclingstats.com/rider/Ben-KING,68,1.83,1989
FELLINE Fabio,https://www.procyclingstats.com/rider/Fabio-FELLINE,68,1.75,1990
TAARAMÄE Rein,https://www.procyclingstats.com/rider/Rein-TAARAMÄE,68,1.86,1987
ROSSKOPF Joey,https://www.procyclingstats.com/rider/Joey-ROSSKOPF,74,1.86,1989
BOUET Maxime,https://www.procyclingstats.com/rider/Maxime-BOUET,67,1.84,1986
PAUWELS Serge,https://www.procyclingstats.com/rider/Serge-PAUWELS,65,1.77,1983
MOSCON Gianni,https://www.procyclingstats.com/rider/Gianni-MOSCON,70,1.82,1994
BERHANE Natnael,https://www.procyclingstats.com/rider/Natnael-BERHANE,66,1.82,1991
